band,mean_abs_shap
A00,0.020058
A01,0.039693
A02,0.015869
A03,0.003074
A04,0.012959
A05,0.009486
A06,0.005595
A07,0.015583
A08,0.004558
A09,0.001795
A10,0.003871
A11,0.011636
A12,0.004619
A13,0.00567
A14,0.001382
A15,0.0175
A16,0.002474
A17,0.002035
A18,0.0023
A19,0.023319
A20,0.003326
A21,0.003477
A22,0.041761
A23,0.002526
A24,0.002915
A25,0.008065
A26,0.001936
A27,0.008297
A28,0.002761
A29,0.010189
A30,0.007058
A31,0.006925
A32,0.003091
A33,0.010223
A34,0.014686
A35,0.002538
A36,0.010095
A37,0.004136
A38,0.013886
A39,0.002672
A40,0.013449
A41,0.002882
A42,0.002633
A43,0.002021
A44,0.001717
A45,0.015841
A46,0.006064
A47,0.002722
A48,0.002468
A49,0.021586
A50,0.003776
A51,0.00448
A52,0.007515
A53,0.003162
A54,0.010547
A55,0.019801
A56,0.003448
A57,0.008586
A58,0.007897
A59,0.003808
A60,0.003644
A61,0.003714
A62,0.001998
A63,0.00193
