lng,lat,region,pass_no,wave,hand_labelled,region_finished
2.97176,19.98442,Algeria 1,2,6,0,2026-09-04T01:26
0.92594,21.35228,Algeria 1,4,6,0,2026-09-04T01:26
-0.31895,27.90360,Algeria 3,2,6,0,2026-09-03T12:35
-8.11004,27.60123,Algeria 3,2,6,0,2026-09-03T12:35
-8.15522,27.75170,Algeria 3,2,6,0,2026-09-03T12:35
-0.51873,29.29941,Algeria 3,3,6,0,2026-09-03T12:35
5.18826,35.50901,Algeria 5,2,5,0,2026-09-03T00:03
2.80791,33.72648,Algeria 5,4,5,0,2026-09-03T00:03
2.80342,33.72639,Algeria 5,4,5,0,2026-09-03T00:03
8.56404,31.21192,Algeria 5,4,5,0,2026-09-03T00:03
3.16211,34.34354,Algeria 5,4,5,0,2026-09-03T00:03
3.35912,33.11985,Algeria 5,4,5,0,2026-09-03T00:03
3.16607,34.33806,Algeria 5,5,5,0,2026-09-03T00:03
5.15700,34.80841,Algeria 5,5,5,0,2026-09-03T00:03
5.15018,34.81839,Algeria 5,5,5,0,2026-09-03T00:03
5.83299,32.60584,Algeria 5,6,5,0,2026-09-03T00:03
0.55413,32.94764,Algeria 5,6,5,0,2026-09-03T00:03
6.34008,34.70331,Algeria 5,6,5,0,2026-09-03T00:03
3.16607,34.34803,Algeria 5,7,5,0,2026-09-03T00:03
12.62335,-15.02203,Angola 1,3,6,0,2026-09-04T01:48
13.89132,-15.73026,Angola 1,3,6,0,2026-09-04T01:48
12.62497,-15.02625,Angola 1,4,6,0,2026-09-04T01:48
22.19077,-10.71955,Angola 2,3,6,0,2026-09-03T22:49
19.94920,-11.75495,Angola 2,4,6,0,2026-09-03T22:49
19.94651,-11.75926,Angola 2,4,6,0,2026-09-03T22:49
15.81363,-12.22665,Angola 2,4,6,0,2026-09-03T22:49
15.64124,-12.77876,Angola 2,4,6,0,2026-09-03T22:49
17.96887,-8.75709,Angola 3,2,6,0,2026-09-04T06:17
20.44660,-9.67283,Angola 3,2,6,0,2026-09-04T06:17
17.96824,-8.76167,Angola 3,3,6,0,2026-09-04T06:17
21.34653,-7.66321,Angola 3,4,6,0,2026-09-04T06:17
20.68618,-8.48239,Angola 3,4,6,0,2026-09-04T06:17
-68.03449,-34.72182,Argentina 2,2,6,0,2026-09-04T12:50
-67.42570,-29.31360,Argentina 4,1,5,0,2026-09-02T16:26
-66.12126,-33.35180,Argentina 4,1,5,0,2026-09-02T16:26
-67.64462,-27.69430,Argentina 4,4,5,0,2026-09-02T16:26
-69.29600,-30.35627,Argentina 4,4,5,0,2026-09-02T16:26
-67.42373,-29.33157,Argentina 4,4,5,0,2026-09-02T16:26
-67.55093,-28.03566,Argentina 4,4,5,0,2026-09-02T16:26
-66.85671,-32.84200,Argentina 4,4,5,0,2026-09-02T16:26
-69.33669,-30.60547,Argentina 4,4,5,0,2026-09-02T16:26
-67.42085,-29.30426,Argentina 4,4,5,0,2026-09-02T16:26
-66.90414,-24.14703,Argentina 4,4,5,0,2026-09-02T16:26
-69.28234,-30.36050,Argentina 4,4,5,0,2026-09-02T16:26
-66.91860,-24.14640,Argentina 4,4,5,0,2026-09-02T16:26
-67.41438,-29.59765,Argentina 4,4,5,0,2026-09-02T16:26
-66.38833,-33.29008,Argentina 4,4,5,0,2026-09-02T16:26
-66.71082,-24.08936,Argentina 4,4,5,0,2026-09-02T16:26
-66.33650,-32.78316,Argentina 4,4,5,0,2026-09-02T16:26
-66.71523,-24.10598,Argentina 4,4,5,0,2026-09-02T16:26
-66.91447,-24.13948,Argentina 4,5,5,0,2026-09-02T16:26
-66.72313,-24.08190,Argentina 4,5,5,0,2026-09-02T16:26
-68.19089,-24.78304,Argentina 4,5,5,0,2026-09-02T16:26
-66.70220,-24.09852,Argentina 4,5,5,0,2026-09-02T16:26
-66.71603,-24.08927,Argentina 4,5,5,0,2026-09-02T16:26
-67.41960,-29.30956,Argentina 4,5,5,0,2026-09-02T16:26
-67.41025,-29.60043,Argentina 4,5,5,0,2026-09-02T16:26
-67.42732,-29.32815,Argentina 4,5,5,0,2026-09-02T16:26
-67.41852,-29.32159,Argentina 4,5,5,0,2026-09-02T16:26
-69.28531,-30.35412,Argentina 4,5,5,0,2026-09-02T16:26
-66.38465,-33.30230,Argentina 4,5,5,0,2026-09-02T16:26
-69.34253,-30.60681,Argentina 4,5,5,0,2026-09-02T16:26
-69.28971,-30.36157,Argentina 4,5,5,0,2026-09-02T16:26
-65.95678,-25.88958,Argentina 4,5,5,0,2026-09-02T16:26
-66.70768,-24.09618,Argentina 4,6,5,0,2026-09-02T16:26
-66.70040,-24.10364,Argentina 4,6,5,0,2026-09-02T16:26
-66.90055,-24.15404,Argentina 4,6,5,0,2026-09-02T16:26
-66.89902,-24.14460,Argentina 4,6,5,0,2026-09-02T16:26
-66.72879,-24.07939,Argentina 4,6,5,0,2026-09-02T16:26
-68.20086,-24.77989,Argentina 4,6,5,0,2026-09-02T16:26
-66.91384,-24.14487,Argentina 4,6,5,0,2026-09-02T16:26
-69.33507,-30.61068,Argentina 4,6,5,0,2026-09-02T16:26
-67.42022,-29.32806,Argentina 4,6,5,0,2026-09-02T16:26
-66.72044,-24.10166,Argentina 4,6,5,0,2026-09-02T16:26
-68.18882,-24.77819,Argentina 4,6,5,0,2026-09-02T16:26
-66.71675,-24.08352,Argentina 4,6,5,0,2026-09-02T16:26
-66.90055,-24.14002,Argentina 4,6,5,0,2026-09-02T16:26
-66.90782,-24.14227,Argentina 4,6,5,0,2026-09-02T16:26
-65.92417,-26.03178,Argentina 4,6,5,0,2026-09-02T16:26
-69.29788,-30.36050,Argentina 4,6,5,0,2026-09-02T16:26
-67.41555,-29.30444,Argentina 4,6,5,0,2026-09-02T16:26
-69.29627,-30.36544,Argentina 4,6,5,0,2026-09-02T16:26
-67.42696,-29.31881,Argentina 4,6,5,0,2026-09-02T16:26
-66.73346,-24.08226,Argentina 4,6,5,0,2026-09-02T16:26
-69.28046,-30.35609,Argentina 4,6,5,0,2026-09-02T16:26
-69.34091,-30.60232,Argentina 4,6,5,0,2026-09-02T16:26
-69.28252,-30.36831,Argentina 4,6,5,0,2026-09-02T16:26
-66.72232,-24.08774,Argentina 4,6,5,0,2026-09-02T16:26
-69.30076,-30.36750,Argentina 4,6,5,0,2026-09-02T16:26
-67.42804,-29.33435,Argentina 4,6,5,0,2026-09-02T16:26
-69.29456,-30.37119,Argentina 4,6,5,0,2026-09-02T16:26
-69.46739,-30.82403,Argentina 4,6,5,0,2026-09-02T16:26
-69.30803,-30.36589,Argentina 4,6,5,0,2026-09-02T16:26
-67.42031,-29.31432,Argentina 4,6,5,0,2026-09-02T16:26
-68.19394,-24.77792,Argentina 4,6,5,0,2026-09-02T16:26
-69.47611,-30.82088,Argentina 4,6,5,0,2026-09-02T16:26
-65.91968,-26.02792,Argentina 4,6,5,0,2026-09-02T16:26
-66.17390,-33.31703,Argentina 4,6,5,0,2026-09-02T16:26
-68.66223,-31.37658,Argentina 4,6,5,0,2026-09-02T16:26
-66.32913,-32.78379,Argentina 4,6,5,0,2026-09-02T16:26
-66.71936,-24.09690,Argentina 4,7,5,0,2026-09-02T16:26
-66.91977,-24.14128,Argentina 4,7,5,0,2026-09-02T16:26
-66.72744,-24.08433,Argentina 4,7,5,0,2026-09-02T16:26
-66.90809,-24.15224,Argentina 4,7,5,0,2026-09-02T16:26
-66.89929,-24.14936,Argentina 4,7,5,0,2026-09-02T16:26
-66.71702,-24.07894,Argentina 4,7,5,0,2026-09-02T16:26
-69.33094,-30.60628,Argentina 4,7,5,0,2026-09-02T16:26
-69.34136,-30.61122,Argentina 4,7,5,0,2026-09-02T16:26
-67.00098,-23.87017,Argentina 4,7,5,0,2026-09-02T16:26
-65.95750,-25.89515,Argentina 4,7,5,0,2026-09-02T16:26
-69.28477,-30.37244,Argentina 4,7,5,0,2026-09-02T16:26
-68.54303,-31.99274,Argentina 4,7,5,0,2026-09-02T16:26
-65.92426,-26.03726,Argentina 4,7,5,0,2026-09-02T16:26
-57.98666,-30.52417,Argentina 5,2,6,0,2026-09-03T18:57
-63.76794,-29.98698,Argentina 5,4,6,0,2026-09-03T18:57
-57.74806,-30.02201,Argentina 5,4,6,0,2026-09-03T18:57
-63.77055,-29.99093,Argentina 5,4,6,0,2026-09-03T18:57
-55.13882,-27.85141,Argentina 6,2,6,0,2026-09-03T19:09
-53.72765,-26.61039,Argentina 6,2,6,0,2026-09-03T19:09
-65.09880,-24.35840,Argentina 6,4,6,0,2026-09-03T19:09
-55.49096,-27.63977,Argentina 6,4,6,0,2026-09-03T19:09
-55.96087,-27.46029,Argentina 6,4,6,0,2026-09-03T19:09
-55.96176,-27.39453,Argentina 6,4,6,0,2026-09-03T19:09
-65.25403,-24.31070,Argentina 6,4,6,0,2026-09-03T19:09
117.28085,-31.65317,Australia 1,4,5,0,2026-09-03T06:05
117.27978,-31.66045,Australia 1,4,5,0,2026-09-03T06:05
118.24861,-31.53190,Australia 1,4,5,0,2026-09-03T06:05
118.23693,-31.55166,Australia 1,4,5,0,2026-09-03T06:05
114.70161,-28.79509,Australia 1,4,5,0,2026-09-03T06:05
115.41640,-30.48608,Australia 1,5,5,0,2026-09-03T06:05
118.24834,-31.52678,Australia 1,5,5,0,2026-09-03T06:05
118.23738,-31.53280,Australia 1,5,5,0,2026-09-03T06:05
118.22606,-31.54250,Australia 1,6,5,0,2026-09-03T06:05
118.23082,-31.53450,Australia 1,6,5,0,2026-09-03T06:05
117.27771,-31.64940,Australia 1,6,5,0,2026-09-03T06:05
115.87876,-30.49830,Australia 1,6,5,0,2026-09-03T06:05
117.27205,-31.66242,Australia 1,7,5,0,2026-09-03T06:05
118.23630,-31.53900,Australia 1,7,5,0,2026-09-03T06:05
118.23172,-31.55301,Australia 1,7,5,0,2026-09-03T06:05
132.57269,-11.14415,Australia 12,0,8,1,2026-09-03T03:14
139.49439,-20.80548,Australia 13,4,6,0,2026-09-04T03:04
138.81814,-17.93904,Australia 14,4,6,0,2026-09-04T03:12
152.40992,-25.29984,Australia 15,4,5,0,2026-09-02T22:43
148.12047,-23.50455,Australia 15,4,5,0,2026-09-02T22:43
152.01089,-24.93629,Australia 15,4,5,0,2026-09-02T22:43
