lng,lat
37.51649,37.20638
-73.02245,41.54927
135.32986,34.82406
13.75790,42.67970
17.43432,47.05132
6.93192,53.08321
-1.94882,39.08300
-123.97196,40.72628
-1.70570,37.54417
-5.63472,37.09764
101.89961,36.71567
-5.22432,39.27891
6.92047,51.51102
7.60530,51.24870
78.30532,12.98926
7.03404,43.62878
144.39091,43.03105
132.96646,34.22351
132.96695,34.22284
-2.38623,39.42569
10.83718,50.50471
7.54319,44.56333
11.27044,48.37011
7.27063,47.84156
18.09945,40.04359
-3.21380,39.32240
6.21267,50.80387
-0.05222,41.85552
-1.18782,37.68956
11.46628,44.84168
-3.00942,42.55075
12.13004,49.24947
-3.08294,39.63840
140.32778,35.40712
26.00779,35.17407
6.15604,49.22420
144.39145,43.02800
2.83964,42.62101
6.02099,50.83751
7.67127,44.57074
126.66304,37.17766
-8.62941,37.23840
10.61033,50.36706
102.12380,5.93167
9.94956,56.98935
10.22215,49.35266
-77.59993,46.15684
9.67677,49.76888
-83.53672,41.64404
-1.67845,42.13962
7.67479,44.57733
-122.66040,38.27464
21.22387,48.73944
12.44782,41.70334
113.16240,28.17621
21.79087,36.97129
11.09416,47.71129
11.95580,51.43755
-6.23048,38.47287
7.46820,44.77574
12.47175,51.12836
-82.02489,42.32402
-116.39022,33.73492
15.90668,46.62000
-2.05035,39.10743
8.83354,44.97195
9.55442,45.35319
12.75992,37.61386
12.77167,49.66442
13.34429,49.66773
8.80125,50.10278
126.83460,35.98771
0.51678,44.82770
-1.99052,42.40131
23.22073,40.43487
7.67300,44.57507
13.66298,42.98252
-110.80780,32.22800
144.81282,43.07168
-74.18029,41.07913
23.23251,37.40669
126.48124,34.73054
9.49135,51.18827
8.71084,48.92187
129.51475,33.30575
22.47558,39.52300
113.19074,27.98603
11.89153,43.21472
10.92166,49.30548
-4.32186,41.32283
-4.50555,39.94225
13.32725,49.74907
25.72875,58.15207
9.31680,51.30310
-6.45085,38.38160
101.70128,2.76060
22.54210,38.66971
11.03030,43.11113
127.00209,36.13573
14.33467,50.44687
-76.60201,37.60468
9.24143,48.69133
9.38650,51.18832
141.51568,42.93476
126.99686,35.72211
-122.57624,38.13418
10.41268,45.56676
27.83888,35.93646
127.52761,34.98548
23.09607,38.56275
-5.05606,38.53928
